Title,Subtitle,logo,rectangle,url,image,group,color,boxid,infopage,description
Big Data Processing,,,,home,cbrain.png,,#05A3D6,1,,"Web app streamlining collaborative massive parallel data processing on computer clusters, cornerstone of NeuroHub"
C-Big,,,,https://cbigr.loris.ca,loris.png,,gray,2,,LORIS-powered internal and public beta collections of neurological data of patients and healthy subjects
C-Big,,,,https://www.mcgill.ca/neuro/research/c-big-repository/resources-researchers,c-big.png,,gray,2,,
UKBB Data Query,,,,https://ukbb.loris.ca/,loris.png,,gray,3,,"Records of participants having imaging data in UK Biobank, one of largest biomedical data collection"
UKBB Data Query,,,,https://ukbb.loris.ca/,ukbiobank.webp,,gray,3,,
Upcoming LORIS managed Datasets,,,,https://loris.ca,newloris.jpg,,gray,4,,
Data Exploration,,,,https://jupyterhub.beluga.alliancecan.ca,jupyterhub.png,,SteelBlue,5,https://docs.alliancecan.ca/wiki/JupyterHub,
Data Sharing,,,,https://zenodo.org/communities/conp_pcno,zenodo.png,,black,6,,
Data Sharing,,,,https://osf.io,osf_black.jpeg,,black,6,,
Open Publishing,,,,https://neurolibre.org,neurolibre.svg,,DarkSlateGray,7,,A zero-fee notebook preprint and affordable high-quality journal services
Open Publishing,Apperture Neuro,,,https://apertureneuro.org/,appertureneuro.png,,DarkSlateGray,7,,"Low cost, open-access Journal for brain imaging and neuroscience"
Open Data,,,,https://conp.ca,conp.png,,DarkSlateblue,8,,
Open Data,,,,https://openneuro.org,openneuro.png,,DarkSlateblue,8,,
Upcoming,,,,https://neurobioinfo.github.io/MTSvieweR,mtsviewer.png,,gainsboro,9,,
Upcoming,SERQ,,,https://seqr.broadinstitute.org/,seqr.png,,gainsboro,9,,
Coming sooner than latter,Brain-Heart Interconnectome (McGill â€“ OttawaU),,,https://www.uottawa.ca/research-innovation/brain-heart-interconnectome,,,gainsboro,9,,
